et_time,ticker,side,entry_price,contracts,cost,result,won,pnl,pnl_pct,cash_after
2026-08-08 02:00:10 PM ET,KXDOGE15M-26AUG081400-00,no,0.9840,7,6.90,no,True,0.10,1.5,15.58
2026-08-08 02:30:10 PM ET,KXBNB15M-26AUG081430-30,no,0.9850,7,6.90,no,True,0.10,1.4,15.68
2026-08-08 05:45:11 PM ET,KXBNB15M-26AUG081745-45,no,0.9850,7,6.90,no,True,0.10,1.4,11.85
2026-08-08 05:45:11 PM ET,KXDOGE15M-26AUG081745-45,no,0.9800,4,3.93,no,True,0.07,1.9,15.85
2026-08-08 07:15:11 PM ET,KXSOL15M-26AUG081915-15,no,0.9770,8,7.83,no,True,0.17,2.2,16.03
2026-08-08 09:00:12 PM ET,KXXRP15M-26AUG082100-00,no,0.9760,8,7.82,no,True,0.18,2.3,16.20
2026-08-08 09:15:11 PM ET,KXBNB15M-26AUG082115-15,no,0.9850,5,4.93,no,True,0.07,1.4,6.47
2026-08-08 09:15:12 PM ET,KXDOGE15M-26AUG082115-15,no,0.9810,5,4.91,no,True,0.09,1.8,11.47
2026-08-08 09:15:12 PM ET,KXSOL15M-26AUG082115-15,no,0.9770,5,4.89,no,True,0.11,2.2,16.47
2026-08-09 01:00:11 AM ET,KXSOL15M-26AUG090100-00,no,0.9790,8,7.84,no,True,0.16,2.0,16.63
2026-08-09 03:15:21 AM ET,KXBNB15M-26AUG090315-15,no,0.9590,8,7.69,no,True,0.31,4.0,16.93
2026-08-09 03:30:11 AM ET,KXXRP15M-26AUG090330-30,no,0.9840,8,7.88,no,True,0.12,1.5,13.11
2026-08-09 03:30:12 AM ET,KXBNB15M-26AUG090330-30,no,0.9850,4,3.94,no,True,0.06,1.4,17.11
2026-08-09 05:13:23 AM ET,KXDOGE15M-26AUG090515-15,no,0.9530,8,7.65,stopped,False,-3.87,-50.6,13.24
2026-08-09 06:00:12 AM ET,KXSOL15M-26AUG090600-00,no,0.9780,6,5.88,no,True,0.12,2.1,13.36
2026-08-09 06:15:11 AM ET,KXSOL15M-26AUG090615-15,yes,0.9780,6,5.88,yes,True,0.12,2.1,13.48
2026-08-09 08:45:12 AM ET,KXSOL15M-26AUG090845-45,no,0.9760,6,5.87,no,True,0.13,2.3,13.62
2026-08-09 09:45:11 AM ET,KXSOL15M-26AUG090945-45,no,0.9800,6,5.89,no,True,0.11,1.9,13.73
2026-08-09 10:00:12 AM ET,KXSOL15M-26AUG091000-00,no,0.9830,6,5.91,no,True,0.09,1.6,13.83
2026-08-09 10:30:20 AM ET,KXBTC15M-26AUG091030-30,no,0.9840,7,6.90,no,True,0.10,1.5,13.93
2026-08-09 11:15:12 AM ET,KXSOL15M-26AUG091115-15,no,0.9590,7,6.73,no,True,0.27,4.0,14.20
2026-08-09 12:30:10 PM ET,KXDOGE15M-26AUG091230-30,no,0.9840,7,6.90,no,True,0.10,1.5,14.30
2026-08-09 01:15:11 PM ET,KXDOGE15M-26AUG091315-15,yes,0.9780,7,6.86,yes,True,0.14,2.1,14.45
2026-08-09 01:45:11 PM ET,KXXRP15M-26AUG091345-45,no,0.9800,7,6.87,no,True,0.13,1.9,14.58
2026-08-09 04:00:12 PM ET,KXBNB15M-26AUG091600-00,no,0.9790,7,6.86,no,True,0.14,2.0,14.71
2026-08-09 04:15:11 PM ET,KXSOL15M-26AUG091615-15,no,0.9800,7,6.87,no,True,0.13,1.9,14.84
2026-08-09 05:30:11 PM ET,KXSOL15M-26AUG091730-30,yes,0.9810,7,6.88,yes,True,0.12,1.8,14.97
